,school_name,school_city,school_score,school_post_code,address
0,Al-Risala,Mississauga,10,L4Y4A2,1224 Dundas Street E
1,Avondale Alternative,Toronto,10,M2N2V4,171 Avondale Ave
2,Havergal,Toronto,10,M5N2H9,1451 Avenue Rd
3,IQRA Islamic,Mississauga,10,L4Z1R9,5751 Coopers Ave
4,Islamic Foundation,Ajax,10,1T7,2944 Audley Road N.
5,Islamic Institute of Toronto,Toronto,10,M1X1S3,1630 NEILSON RD
6,Islamic School of Cambridge,Cambridge,10,N1R8J5,1550 Dunbar Rd
7,Khalsa Community,Brampton,10,L6S3B5,69 Maitland Street
8,Khalsa School Malton,Mississauga,10,L4T2H3,7280 Airport Rd.
9,Laggan,Dalkeith,10,K0B1E0,20345 Laggan-Glenelg Road
10,Northmount,Toronto,10,M3B1S3,26 Mallard Rd
11,Safa & Marwa,Mississauga,10,L4Z1P1,5550 Mcadam Road
12,Sathya Sai,Toronto,10,M1R4E5,505 Ellesmere Rd  4
13,St Justin Martyr,Unionville,10,L3R8K4,140 Hollingham Rd
14,St Mildred's-Lightbourn,Oakville,10,L6J2L1,1080 Linbrook Rd
15,St Sebastian,Toronto,10,M6H3P1,717 Brock Ave
16,Islamic School of Hamilton,Hamilton,9.9,L8W3P8,1545 Stone Church Rd E
17,Silver Stream,Richmond Hill,9.9,L4S2K9,180 Farmstead Rd
18,Sainte-Marguerite-Bourgeoys,Markham,9.8,L3R9C1,111 boulevard John Button
19,St Benedict,Unionville,9.8,L3R7E4,50 Aldergrove Dr
20,Convent Glen,Orléans,9.7,K1C2M4,6212 Jeanne d'Arc Blvd
21,Donald Cousens,Markham,9.7,L6E1T5,315 Mingay Avenue
22,Nile Academy,Toronto,9.6,M9M1W5,5 Blue Haven Crescent
23,Olive Grove,Mississauga,9.6,L5K1B4,2300 Speakman Dr
24,Al-Ameen,Brampton,9.5,L6X3P1,389 Main Street North
25,Errol Village,Camlachie,9.5,N0N1E0,3568 Egremont Road
26,Fleming,Toronto,9.5,M1B5B5,20 Littles Rd
27,Guru Tegh Bahadur,Brampton,9.5,1Y4,180 Sandalwood Parkway East
28,Lyn-Tincap,Lyn,9.5,K0E1M0,38 Main Street East 184
29,Stonebridge,Markham,9.5,L6C2Z8,168 Stonebridge Dr
30,Whitney,Toronto,9.5,M4T1C7,119 Rosedale Heights Dr
31,St Rose of Lima,Mississauga,9.4,L5M3A9,4590 The Gallops
32,Wali ul Asr,Brampton,9.4,0A1,7580 Kennedy Road
33,Clara Hughes,Oshawa,9.3,L1H6T9,250 Harmony Rd. S.
34,Denlow,Toronto,9.3,M3B1P7,50 Denlow Blvd
35,Fallingbrook,Whitby,9.3,L1R2G2,155 Fallingbrook St
36,Humber Valley Village,Toronto,9.3,M9A3E1,65 Hartfield Rd
37,ISNA Islamic,Mississauga,9.3,L4X1C5,1525 Sherway Dr
38,John Ross Robertson,Toronto,9.3,M4R1P2,130 Glengrove Ave W
39,John XXIII,Arnprior,9.3,K7S1B9,75 Edey St
40,Masonville,London,9.3,N6G3A7,25 Hillview Blvd
41,St Raphaels,Burlington,9.3,L7L1S9,4056 New St
42,Beverly Glen,Toronto,9.2,M1W1W4,85 Beverly Glen Blvd
43,Islamic Foundation,Toronto,9.2,M1S5E1,441 Nugget Ave
44,St Ann,St Catharines,9.2,L2N4W1,218 Main St
45,Wali ul Asr,Caledon,9.2,4G2,84 Simpson Road
46,Ahlul Bayt Islamic,Ottawa,9.1,K1L7R6,200 Baribeau St
47,Alexandra,Lindsay,9.1,K9V4H9,65 Sussex St N
48,Arc-en-ciel,Orléans,9.1,K4A3T6,1830 boul. Portobello
49,Blythwood,Toronto,9.1,M4N2Z5,2 Strathgowan Cres
50,Elizabeth B Phin,Pickering,9.1,L1V1N1,1500 Rougemount Dr
51,North Cavan,Cavan,9.1,L0A1C0,2001 County Rd 10
52,Ossington/Old Orchard,Toronto,9.1,M6J3A5,380 Ossington Ave
53,Pine Grove,St Catharines,9.1,L2N4J5,690 Lake St
54,St Helen,Mississauga,9.1,L5J3X1,1325 Bodley Rd
55,St Mark,Mississauga,9.1,L5L2Z5,3675 Sawmill Valley Dr
56,Swansea,Toronto,9.1,M6S3J9,207 Windermere Ave
57,Coledale,Markham,9,L3R7W8,60 Coledale Rd
58,Holy Name of Mary,Ancaster,9,L9K1H8,161 Meadowlands Blvd
59,Iroquois,Toronto,9,M1S2S6,265 Chartland Blvd S
60,John T Tuck,Burlington,9,L7N1J7,3365 Spruce Ave
61,Sacré-Coeur,Bourget,9,K0A1E0,2233 rue Dollard
62,Saint-François-d'Assise,Ottawa,9,K1Y1T8,35 av. Melrose
63,San Lorenzo Ruiz,Markham,9,L6E0E1,840 Bur Oak Ave
64,St Matthew's,Oakville,9,L6M2G3,1050 Nottinghill Gate
65,Withrow Avenue,Toronto,9,M4K1E5,25 Bain Ave
66,C D Farquharson,Toronto,8.9,M1S2B1,1965 Brimley Rd
67,Chine Drive,Toronto,8.9,M1M2K8,51 Chine Dr
68,Corpus Christi,Hamilton,8.9,L9B1G3,25 Alderson Dr
69,David Lewis,Toronto,8.9,M1W3G1,130 Fundy Bay Blvd
70,E I McCulley,St Catharines,8.9,L2M6B8,16 Berkley Dr
71,Georges-Étienne-Cartier,Ottawa,8.9,K1V6Y3,880 prom. Thorndale
72,Glendale,Welland,8.9,L3C3R1,24 Farnham Ave
73,Jacob Beam,Beamsville,8.9,L0R1B0,4300 William St Box 390
74,Kanata,Kanata,8.9,K2K2P9,1385 terrasse Halton
75,Merrickville,Merrickville,8.9,K0G1N0,306 Drummond Street East 520
76,Michael Cranny,Maple,8.9,L6A1Y9,155 Melville Ave
77,R L Beattie,Sudbury,8.9,P3E2P7,102 Loach's Rd
78,St Paul,Stoney Creek,8.9,L8J2H9,24 Amberwood St
79,St Thomas the Apostle,Renfrew,8.9,K7V2M9,41 Bolger Lane
80,St. Michael's,Simcoe,8.9,N3Y4K1,972 St. John's Road West R. R. #2
81,Westmount,Thorold,8.9,L2V2J8,73 Ann St
82,William Berczy,Unionville,8.9,L3R1Z9,120 Carlton Rd
83,Bessborough Drive,Toronto,8.8,M4G3K2,211 Bessborough Dr
84,Cedarvale,Toronto,8.8,M6C1W4,145 Ava Rd
85,Cedarwood,Markham,8.8,L3S4R8,399 Elson St
86,Christ the King,Richmond Hill,8.8,L4B2E1,329 Valleymede Dr
87,Downtown Alternative,Toronto,8.8,M5E1R8,85 Lower Jarvis St
88,Jack Chambers,London,8.8,N5X3E3,1650 Hastings Dr
89,Josyf Cardinal Slipyj,Toronto,8.8,M9B2R5,35 West Deane Park Dr
90,La Source,Orléans,8.8,K1E1E8,1445 prom. Duford
91,Marius-Barbeau,Ottawa,8.8,K1V6T3,1345 av. Nottinghill
92,Park,Grimsby,8.8,L3M1P5,217 Main St E
93,Pleasantville,Richmond Hill,8.8,L4C4B9,400 Mill St
94,Port Royal,Toronto,8.8,M1V4R1,408 Port Royal Trail
95,Renaissance,Burlington,8.8,L7S1H1,1226 chemin Lockhart
96,St Andrew's,Killaloe,8.8,K0J2A0,131 Queen St Box 339
97,St Clement,Toronto,8.8,M9C2A2,4319 Bloor St
98,St Michael's Choir,Toronto,8.8,M5B1X2,66 Bond St
99,Summit Heights,Toronto,8.8,M3H1M1,139 Armour Blvd
100,Twenty Valley,Vineland,8.8,2C0,4057 Victoria Avenue N
101,Applewood,St Catharines,8.7,L2P3T7,130 Woodrow St
102,Bayview Fairways,Thornhill,8.7,L3T2Z6,255 Bayview Fairways Dr
103,Bellewood,Windsor,8.7,N9E1B6,2500 LABELLE ST
104,Brookmill Boulevard,Toronto,8.7,M1W2L5,25 Brookmill Blvd
105,E J James,Oakville,8.7,L6J4M6,338 Cairncroft Rd
106,Edward Johnson,Guelph,8.7,N1E5C1,397 Stevenson St N
107,Island Public/Natural Science,Toronto,8.7,M5J2E9,30 Centre Island Pk
108,John XXIII,Mississauga,8.7,L5C1M1,915 McBride Ave
109,Milliken,Toronto,8.7,M1V2T4,130 Port Royal Trail
110,Prince Philip,St Catharines,8.7,L2M3V1,600 Vine St
111,Rosedale,Toronto,8.7,M4W1R1,22 South Dr
112,Runnymede,Toronto,8.7,M6S2Y7,357 Runnymede Rd
113,St Bonaventure,Toronto,8.7,M3C2K9,1340 Leslie St
114,St David of Wales,Mississauga,8.7,L5C3V9,4200 Beacon Lane
115,St Gregory the Great,Woodbridge,8.7,L4L6Z6,140 Greenpark Blvd
116,St Joseph,River Canard,8.7,N9J2W6,9381 Townline Rd
117,St Mary-St Cecilia,Morrisburg,8.7,K0C1X0,28 Shea Dr 892
118,St Pius X,Tecumseh,8.7,N8N2C1,644 Lacasse Blvd
119,St. Anne,Burlington,8.7,L7R4L3,4675 Doug Wright Drive
120,Valley View,Greenwood,8.7,L0H1H0,3530 Westney Rd
121,W. Erskine Johnston,Kanata,8.7,K2K1G7,50 Varley Dr
122,Altona Forest,Pickering,8.6,L1V7A3,405 Woodsmere Cres
123,Bedford Park,Toronto,8.6,M4N1X2,81 Ranleigh Ave
124,Bellmere,Toronto,8.6,M1H2E6,470 Brimorton Dr
125,Bond Lake,Richmond Hill,8.6,L4E5B9,245 Old Colony Road
126,Centennial Road,Toronto,8.6,M1C2A2,271 Centennial Rd
127,Davisville,Toronto,8.6,M4S1J6,43 Millwood Rd
128,Dunlace,Toronto,8.6,M2L2S1,20 Dunlace Dr
129,Édouard-Bond,Ottawa,8.6,K2B5K3,920 av. Parkhaven
130,Forest Hill,Toronto,8.6,M5P2T6,78 Dunloe Rd
131,Forest Trail,Oakville,8.6,L6M4B9,1406 Pine Glen Road
132,Henderson Avenue,Thornhill,8.6,L3T2K7,66 Henderson Ave
133,Kanata Highlands,Kanata,8.6,K2T0N3,425 Terry Fox
134,Munns,Oakville,8.6,L6H1X8,1511 Sixth Line
135,New Central,Oakville,8.6,L6J3X4,133 Balsam Dr
136,Our Lady of Perpetual Help,Toronto,8.6,M4T1E6,1 1/2 Garfield Ave
137,Richmond Rose,Richmond Hill,8.6,L4S1S7,160 Frank Endean Rd
138,Rockcliffe Park,Ottawa,8.6,K1M1C1,350 Buena Vista Rd
139,St John of the Cross,Mississauga,8.6,L5N3S5,3180 Aquitaine Ave
140,St. Joseph,Toledo,8.6,K0E1Y0,"80 County Road 1, Main St"
141,Stephen Leacock,Kanata,8.6,K2K1S2,25 Leacock Dr
142,Tecumseh,Mississauga,8.6,L5H1V4,1480 Chriseden Dr
143,A K Wigg,Fonthill,8.5,L0S1E0,1337 Haist St Box 740
144,Abraham Erb,Waterloo,8.5,N2V2V3,710 Laurelwood Dr
145,Aurora,Aurora,8.5,L4G2P3,125 Wellington St W
146,Baythorn,Thornhill,8.5,L3T3V2,201 Baythorn Dr
147,Beckett Farm,Markham,8.5,L6C0T3,78 Beckett Ave
148,Bialik Hebrew Day,Toronto,8.5,M6B3A1,2760 Bathurst St
149,Courcelette,Toronto,8.5,M1N2T6,100 Fallingbrook Rd
150,Eramosa,Rockwood,8.5,N0B2K0,5757 Fifth Line
151,John Wanless,Toronto,8.5,M5M1T2,245 Fairlawn Ave
152,Le-Petit-Prince,Vaughan,8.5,L6A1Y3,79 chemin Avro
153,L'Étoile-de-l'Est,Orléans,8.5,K1C8E4,6220 prom. Beauséjour
154,Mount Joy,Markham,8.5,L6E1X1,281 Williamson Rd
155,Notre-Dame-de-Grâce,Toronto,8.5,1Y5,59 Clement Rd
156,Pierre Berton,Vaughan,8.5,L4H0X9,470 Via Campanile
157,Pilgrim Wood,Oakville,8.5,L6M2W7,1551 Pilgrims Way
158,Pope Francis,Kleinburg,8.5,L4H3Z3,15 Secord Avenue
159,Springbrook,Brampton,8.5,L6X0S1,145 Jordensen Drive
160,St Augustine,Cambridge,8.5,N1S4Y2,177 Bismark Dr
161,St Matthew,Mississauga,8.5,L5R1L3,280 Kingsbridge Garden Circle
162,Armour Heights,Toronto,8.4,M5M3A5,148 Wilson Ave
163,Blessed Kateri Tekakwitha,Hamilton,8.4,L8W1Z6,22 Queensbury Dr
164,Central Park,Markham,8.4,L3P7G2,100 Central Park Dr
165,Corpus Christi,Richmond Hill,8.4,L4S1C6,35 Squire Dr
166,Earl A Fairman,Whitby,8.4,L1N2W8,620 Walnut St
167,Elmdale,Ottawa,8.4,K1Y3L9,49 Iona St
168,Gainsborough Central,St Anns,8.4,L0R1Y0,5459 Hwy 20 Hwy
169,Joshua Creek,Oakville,8.4,L6H7P9,1450 Arrowhead Road
170,Kennedy,Toronto,8.4,M1V2Y6,20 Elmfield Cres
171,MacLeod's Landing,Richmond Hill,8.4,L4E4Z1,195 Silver Maple Rd
172,Our Lady of Fatima,Courtland,8.4,N0J1E0,120 Talbot Rd Box 288
173,Ryerson,London,8.4,N6A3X3,940 Waterloo St
174,Sainte-Marguerite-d'Youville,Toronto,8.4,M8Y2T3,755 chemin Royal York
175,Saint-Joseph d'Orléans,Orléans,8.4,K1C1J4,6664 rue Carrière
176,Sister Catherine Donnelly,Barrie,8.4,L4M6W2,123 Hanmer St E
177,Sixteenth Avenue,Richmond Hill,8.4,L4C7A9,400 16th Ave
178,St Augustines,Dundas,8.4,L9H2C9,25 Alma St
179,St Brigid,Ayr,8.4,N0B1E0,50 Broom St
180,St Clement,Woodbridge,8.4,L4L3Y1,40 Bainbridge Ave
181,St Daniel,Ottawa,8.4,K2C2P9,1313 Field Street
182,St Demetrius,Toronto,8.4,M9P1A6,125 La Rose Ave
183,St Edmund,Mississauga,8.4,L4Y1L5,1250 Melton Dr
184,St Finnan's,Alexandria,8.4,K0C1A0,220 Main St
185,St James,Seaforth,8.4,N0K1W0,13 Chalk St Box 100
186,St John the Baptist,Hamilton,8.4,L8K2G6,115 London St S
187,St Michael's,Douglas,8.4,K0J1S0,5346 Queen St E Box 100
188,St Patrick,Markham,8.4,L3P1B6,5607 Highway #7
189,St Paul,Whitby,8.4,L1N3K6,200 Garrard Rd
190,St Therese of the Child Jesus,Mississauga,8.4,L5N6X7,6930 Forest Park Dr
191,Thomas L Wells,Toronto,8.4,M1X1V6,69 Nightstar Road
192,William Dunbar,Pickering,8.4,L1V5E5,1030 Glenanna Rd
193,Bernard-Grandmaître,Ottawa,8.3,K1V0Z5,4170 chemin Spratt
194,Central,Grimsby,8.3,L3M1K7,10 Livingston Ave
195,Father Serra,Toronto,8.3,M9P3J3,111 Sun Row Dr
196,Glen Shields,Concord,8.3,L4K1T8,158 Glen Shields Ave
197,Herbert H Carnegie,Maple,8.3,L6A0G1,575 Via Romano Blvd
198,John McCrae,Markham,8.3,L6E1N7,565 Fred McLaren Blvd
199,Northlea,Toronto,8.3,M4G1R4,305 Rumsey Rd
200,Our Lady of Mount Carmel,Carlisle,8.3,L0R1H0,1624 Centre Rd Box 272
201,Prince of Peace,Toronto,8.3,M1V4E7,255 Alton Towers Cir
202,Rick Hansen,Aurora,8.3,L4G0J6,490 Mavrinac Boulevard
203,Samuel-de-Champlain,Orillia,8.3,L3V5W1,275 rue Park
204,St Bernard of Clairvaux,Mississauga,8.3,L5M7V5,3345 Escada Drive
205,St Elizabeth,Cambridge,8.3,N3C4B7,50 Adler Dr
206,St Henry,Toronto,8.3,M1W3R3,100 Bamburgh Circle
207,St Josaphat,Toronto,8.3,M6N1A5,55 Pelham Ave
208,St Joseph's,Oakville,8.3,L6L4N4,477 Warminister Dr
209,St Mary's,Deep River,8.3,K0J1P0,33110D Hwy 17 E Box 365
210,Stevensville,Stevensville,8.3,L0S1V0,3521 Main St E
211,Woodroffe Avenue,Ottawa,8.3,K2A3V3,235 Woodroffe Ave
212,Abraar,Ottawa,8.2,K2G2Y7,70 Fieldrow Street
213,Adrienne Clarkson,Ottawa,8.2,K2G6R2,170 Stoneway Dr
214,Allenby,Toronto,8.2,M5N1M2,391 St Clements Ave
215,As-Sadiq Islamic,Thornhill,8.2,L4J8A7,9000 Bathurst St
216,Black Walnut,Markham,8.2,L6B0P4,30 John Allan Cameron Street
217,Carleton,St Catharines,8.2,L2M4M9,1 Carlton Park Dr
218,Castlemore,Markham,8.2,L6C2R5,256 Ridgecrest Rd
219,Charles R. Beaudoin,Burlington,8.2,L7M5A1,4313 Clubview Dr
220,Churchville,Brampton,8.2,L6Y0Y3,90 Bonnie Braes Drive
221,E T Crowle,Markham,8.2,L3P4P8,15 Larkin Ave
222,Fairglen,Toronto,8.2,M1W1H8,2200 Pharmacy Ave
223,Fessenden,Ancaster,8.2,L9G1V7,168 Huron Avenue
224,Georges Vanier,Kanata,8.2,K2K1G5,40 Varley Dr
225,Glen Morris Central,Glen Morris,8.2,N0B1W0,522 Glen Morris Rd E Box 94
226,Glynn A Green,Fonthill,8.2,L0S1E0,1353 Pelham St
227,King George,Peterborough,8.2,K9H1H1,220 Hunter St E
228,Knoxdale,Nepean,8.2,K2H5V2,170 Greenbank Rd
229,Lamoureux,Ottawa,8.2,K1V8C5,2540 av. Kaladar
230,Laurelwood,Waterloo,8.2,N2T2R5,460 Brentcliffe Dr
231,Lincoln Alexander,Markham,8.2,L6C2H4,38 Hillmount Rd
232,Oodenawi,Oakville,8.2,L6M0Z4,385 Sixteen Mile Drive
233,Orchard Park,Burlington,8.2,L7L7J3,5151 Dryden Ave
234,Our Lady of Sorrows,Toronto,8.2,M8X1Z4,32 Montgomery Rd
235,Parkview,Unionville,8.2,L3R1V6,22 Fonthill Blvd
236,Percy Williams,Toronto,8.2,M1V1P6,35 White Heather Blvd
237,Post's Corners,Oakville,8.2,L6H6B5,2220 Caldwell Dr
238,Roy H Crosby,Markham,8.2,L3P1G9,115 Drakefield Rd
239,Southwood,Windsor,8.2,N9G1C3,1355 Cabana Rd W
240,St Angela Merici,Woodbridge,8.2,L4H1C3,8881 Martin Grove Rd
241,St Anne,Richmond Hill,8.2,L4C7N1,105 Don Head Village Blvd
242,St John the Baptist,Belle River,8.2,N0R1A0,494 St Peter St Box 610
243,St Martin of Tours,Stoney Creek,8.2,L8G2X5,60 Grays Rd
244,St Monica,Buttonville,8.2,L6C1V1,290 Calvert Rd
245,St Vincent de Paul,Niagara Falls,8.2,L2E6S4,3900 Kalar Rd
246,Sts Martha & Mary,Mississauga,8.2,L4W2B9,1760 Bough Beeches Blvd
247,Vimy Ridge,Ajax,8.2,L1T4Z4,40 Telford Street East
248,Woodland,St Catharines,8.2,L2R6P9,1511 7th St Louth
249,Agincourt,Toronto,8.1,M1S1N3,29 Lockie Ave
250,AI-Manarat Heights,Mississauga,8.1,L5N5R1,2550 Argentia Road
251,Ange-Gabriel,Mississauga,8.1,L5N7L2,1830 boulevard Meadowvale
252,An-Noor,Windsor,8.1,N8X1Z4,1480 Janette Ave
253,Bayview Hill,Richmond Hill,8.1,L4B2J5,81 Strathearn Ave
254,Blessed Kateri,London,8.1,N5X3R1,220 Sunnyside Drive
255,Connaught,Ottawa,8.1,K1Y3H7,1149 Gladstone Ave
256,du Chêne,Oakville,8.1,L6H1B8,"150, promenade Ridge"
257,Gracefield,St Catharines,8.1,L2N4Z7,117 Bayview Dr
258,Harriet Tubman,St Catharines,8.1,L2R5V4,84 Henry Street
259,Hon Earl Rowe,Bradford,8.1,L3Z2A5,2516 12th Line
260,Hopewell Avenue,Ottawa,8.1,K1S2Y7,17 Hopewell Ave
261,Langton,Fenelon Falls,8.1,K0M1N0,35 Wychwood Cres Box 520
262,Macville,Bolton,8.1,L7C0S3,7280 King St W
263,Moraine Hills,Richmond Hill,8.1,L4E4C7,85 Rollinghill Rd
264,Mother Teresa,Russell,8.1,K4R1C7,1035 Concession Rd
265,North Bendale,Toronto,8.1,M1H2P4,29 Aveline Cres
266,Ontario Muslim Academy,Cambridge,8.1,N1R2B7,100 pollock avenue  27
267,Oscar Peterson,Stouffville,8.1,L4A0E7,850 Hoover Park Drvie
268,Our Lady of Fatima,Renfrew,8.1,K7V3Y3,228 Mason Ave
269,Our Lady of the Rosary,Concord,8.1,L4K1T8,206 Glen Shields Ave
270,Pope John Paul II,Richmond Hill,8.1,L4B4P9,155 Red Maple Rd
271,Sainte-Madeleine,Toronto,8.1,M3A2W1,1 promenade Ness
272,Salaheddin Islamic,Toronto,8.1,M1K2C6,741 Kennedy Road
273,St Charles Garnier,Richmond Hill,8.1,L4C5H5,16 Castlerock Dr
274,St Clare,Orléans,8.1,K4A3M2,2133 Gardenway Dr
275,St Mary of the Angels,Toronto,8.1,M6H4C7,1477 Dufferin St
276,St Michael,Niagara-on-the-Lake,8.1,L0S1J0,387 Line 3
277,St Richard,Mississauga,8.1,L5N2C3,7270 Copenhagen Rd.
278,St. Cecilia,Nepean,8.1,K2J0V1,3490 Cambrian Road
279,Sunningdale,Oakville,8.1,L6H1T4,1434 Oxford Ave
280,Terre-des-Jeunes,Ottawa,8.1,K2C2V8,1303 rue Fellows
281,The Divine Infant,Toronto,8.1,M1V3H7,30 Ingleton Blvd
282,West Preparatory,Toronto,8.1,M6C2J6,70 Ridge Hill Dr
283,All Saints,Unionville,8,L6C2P9,130 Castlemore Ave
284,Byron Southwood,London,8,N6K3R6,1379 Lola St
285,Charlton,Thornhill,8,L4J6J5,121 Joseph Aaron Blvd
286,Dewson Street,Toronto,8,M6H2N9,65 Concord Ave
287,Divine Infant,Orléans,8,K1E2E1,8100 Jeanne d'Arc Blvd
288,Earl Haig,Toronto,8,M4C1E2,15 Earl Haig Ave
289,Fred Varley,Markham,8,L6E0J8,81 Alexander Lawrie Avenue
290,Gandatsetiagon,Pickering,8,L1W2H7,1868 Parkside Dr
291,Georges-Étienne-Cartier,Toronto,8,M4L3C6,250 chemin Gainsborough
292,Harry Bowes,Stouffville,8,L4A0N8,90 Greenwood Road
293,Hilson Avenue,Ottawa,8,K1Z6B9,407 Hilson Ave
294,Holy Spirit,Aurora,8,L4G6Y7,315 Stone Rd
295,Ingleborough,Brampton,8,L6X0X5,60 Ingleborough Drive
296,Inglewood Heights,Toronto,8,M1T2T6,45 Dempster St
297,Jeanne-Lajoie,Toronto,8,M4A2K7,150 Rd Carnforth
298,Johnsview Village,Thornhill,8,L3T5C3,41 Porterfield Cres
299,Lakeview,Grimsby,8,L3M2B9,33 Olive St
300,Lumen Christi,Milton,8,0Z1,841 Savoline Blvd.
301,MAC Maple Grove,Kitchener,8,N2G3M6,160 Courtland Avenue East
302,Maple Grove,Oakville,8,L6J4V5,288 Maple Grove Dr
303,Maplehurst,Burlington,8,L7T2E2,481 Plains Rd E
304,McMaster,Ottawa,8,K1H6R8,1760 McMaster Ave
305,Mother Teresa,Oakville,8,L6M3N2,1190 Westview Terrace
306,Mountview Alternative,Toronto,8,M6P2L5,99 Mountview Ave
307,Naismith Memorial,Almonte,8,K0A1A0,260 King Street 280
308,Notre-Place,Orléans,8,K4A0Z3,665 Des Aubepines Drive
309,Our Lady Help of Christians,Richmond Hill,8,L4S2H1,275 Redstone Rd
310,Our Lady of Lourdes,Kingston,8,K7M4M9,20 Cranbrook St
311,Our Lady of Peace,Oakville,8,L6H5X5,391 River Glen Dr
312,Our Lady of Providence,Brantford,8,N3R6X1,55 Kent Rd
313,Palmerston Avenue,Toronto,8,M6G2R4,734 Palmerston Ave
314,Pape Avenue,Toronto,8,M4K1B9,220 Langley Ave
315,Parkland,Markham,8,L3S3B8,18 Coxworth Ave
316,Power Glen,St Catharines,8,L2S4C1,34 Westland St
317,Princess Elizabeth,Welland,8,L3B1P2,330 Scholfield Ave S
318,Resurrection,Brantford,8,N3R6L4,17 Ravenwood Rd
319,Rolph Road,Toronto,8,M4G3M5,31 Rolph Rd
320,St Alexander,Fonthill,8,L0S1E0,26 20 Hwy Box 509
321,St Andrew,Nepean,8,K2G6Z3,201 Crestway Dr
322,St Andrews,Toronto,8,M1P3Z1,60 Brimorton Dr
323,St Ann,Fenwick,8,L0S1C0,832 Canboro Rd Box 160
324,St Anne,Kanata,8,K2M2V6,500 Stonehaven Dr
325,St Cecilia,Maple,8,L6A4P3,300 Peter Rupert Avenue
326,St Clare of Assisi,Stoney Creek,8,L8G4E7,185 Glenashton Dr
327,St Davids/Laura Secord,St Davids,8,L0S1P0,1344 York Rd  General Delivery
328,St Francis Xavier,Markham,8,L3S1Y4,223 Highglen Ave
329,St Michael,Fitzroy Harbour,8,K0A1X0,159 Kedey St
330,St. James,Mississauga,8,L5G1B8,98 Wanita Road
331,Waverly,Oshawa,8,L1J5V1,100 Waverly St S
332,Westdale,St Catharines,8,L2S2B4,130 Rykert St
333,Alvin Curling,Toronto,7.9,M1B6K4,50 Upper Rouge Trail
334,Beaverton,Beaverton,7.9,L0K1A0,270 King Street West Box 400
335,Bridlewood,Toronto,7.9,M1T1P7,60 Bridlewood Blvd
336,Buttonville,Markham,7.9,L3R9C2,141 John Button Blvd
337,Canadian Martyrs,Burlington,7.9,L7M1K1,3201 Lansdown Dr
338,Castor Valley,Greely,7.9,K4P1N2,2630 Grey's Creek Rd
339,Dalewood,St Catharines,7.9,L2N3P3,61 Duncan Dr
340,Duke of Cambridge,Bowmanville,7.9,L1C2L8,47 Liberty St N
341,Fitch Street,Welland,7.9,L3C4V5,164 Fitch St
342,Jackman Avenue,Toronto,7.9,M4K2X5,79 Jackman Ave
343,Kettleby,Kettleby,7.9,L0G1J0,3286 Lloydtown/Aurora Rd
344,Khairul Ummah,Toronto,7.9,M3C1C4,45 Grenoble Drive
345,Lackner Woods,Kitchener,7.9,N2A4H4,151 Zeller Dr
346,Lancaster Drive,Kingston,7.9,K7P2R7,1020 Lancaster Dr
347,Mary Phelan,Guelph,7.9,N1G2R9,8 Bishop Crt
348,McKay,Port Colborne,7.9,L3K4T7,320 Fielden Ave
349,McNaughton Ave,Chatham,7.9,N7L2G9,480 McNaughton Ave E
350,Monseigneur Jean Noël,Windsor,7.9,N9E3K5,3225 avenue California
351,Mutchmor,Ottawa,7.9,K1S2N1,185 Fifth Ave
352,Niagara Street,Toronto,7.9,M6J2L3,222 Niagara St
353,Norseman,Toronto,7.9,M8Z2R1,105 Norseman St
354,Northumberland Hills,Castleton,7.9,K0K1M0,2246 Spring St
355,Our Lady of Good Voyage,Mississauga,7.9,L5M4W2,5850 River Grove Ave
356,Our Lady of Grace,Kitchener,7.9,N2E1R9,70 Gracefield Cres
357,Our Lady of Lourdes,Waterloo,7.9,N2L6N5,55 Roslin Ave S
358,Our Lady of Victory,Milton,7.9,L9T3R2,540 Commercial St
359,Owen,Toronto,7.9,M2P1G6,111 Owen Blvd
360,Pape-François,Stouffville,7.9,L4A3R1,276 Sunset Blvd
361,Park Lawn,Toronto,7.9,M8Y4B6,71 Ballacaine Dr
362,Pineland,Burlington,7.9,L7L3K7,5121 Meadowhill Rd
363,Quaker Road,Welland,7.9,L3C3G7,333 Quaker Rd
364,Redstone,Richmond Hill,7.9,L4S2E2,235 Redstone Rd
365,Rickson Ridge,Guelph,7.9,N1G4Y6,177 Rickson Ave
366,Rivière Castor,Embrun,7.9,K0A1W0,100 rue Maheu 1229
367,Senator Gibson,Beamsville,7.9,L0R1B6,4944 John St
368,St Andrew,Woodbridge,7.9,L4H1S4,151 Forest Fountain Dr
369,St Jacobs,St Jacobs,7.9,N0B2N0,72 Queensway Dr PO Box 93
370,St James,Maple,7.9,L6A3J7,171 Mast Rd
371,St Jerome,Gloucester,7.9,K1V2A7,4330 Spratt Rd
372,St John Bosco,Oshawa,7.9,L1K2P6,1600 Clearbrook Dr
373,St Joseph,Markham,7.9,L3P2G5,55 Parkway Ave
374,St Marguerite d'Youville,Oakville,7.9,L6H6C7,1359 Bayshire Dr
375,St Mark,London,7.9,N5X1V2,1440 Glenora Dr
376,St Mark the Evangelist,Whitby,7.9,L1R1Z7,95 Waller St
377,St Mary's,Listowel,7.9,N4W3G9,1209 Tremaine Ave S
378,St Michael,Thornhill,7.9,L3T2L5,150 Henderson Avenue
379,St. Gabriel,Kanata,7.9,K2T0G6,400 Keyrock Drive
