,school_name,school_city,school_score,school_post_code,address
2828,Queen Mary,Hamilton,3.4,L8H1V6,1292 Cannon Street East
2829,Sainte-Anne,Mattawa,3.4,P0H1V0,361 rue Brydges C.P. 1100
2830,Séraphin-Marion,Ottawa,3.4,K1J7W3,2147 avenue Loyola
2831,St Bernard's,Orillia,3.4,L3V1H6,255 Oxford St
2832,St Teresa's,Peterborough,3.4,K9J6S9,1525 Fairmount Blvd
2833,Woodville,Woodville,3.4,K0M2T0,109 Nappadale St Box 39
2834,C C Carrothers,London,3.3,N5Z3G2,360 Chippendale Cres
2835,Central,Kirkland Lake,3.3,P2N3H2,23 Station Rd
2836,East Oxford,Woodstock,3.3,N4S7V8,RR 4
2837,East Ridge,Owen Sound,3.3,N4K0A2,1550 8th Street East
2838,General Mercer,Toronto,3.3,M6N1P8,30 Turnberry Ave
2839,Gore Hill,Leamington,3.3,N8H3V7,1135 County Rd 20
2840,Jean-Béliveau,East Gwillimbury,3.3,L9N0E5,Hillcrest Drive / 2nd Concession
2841,Nelson Mandela Park,Toronto,3.3,M5A1X6,440 Shuter St
2842,Riverside,Huntsville,3.3,P1H1Z3,755 Brunel Road
2843,S Geiger,Massey,3.3,P0P1P0,355 Government Rd W Box 427
2844,St Stephen,Toronto,3.3,M9W2H8,55 Golfdown Dr
2845,St Theresa,St Catharines,3.3,L2P1A7,58 Seymour Ave
2846,St-Jude,Porcupine,3.3,P0N1C0,255 rue Dixon
2847,Adelaide Hoodless,Hamilton,3.2,L8M1W7,71 Maplewood Avenue
2848,Assumption,Vanier,3.2,K1L6H8,236 Levis Ave
2849,Chester Le,Toronto,3.2,M1W2K7,201 Chester Le Blvd
2850,Country Hills,Kitchener,3.2,N2E2G7,195 Country Hill Dr
2851,Erin,Erin,3.2,N0B1T0,185 Daniel St
2852,J F Carmichael,Kitchener,3.2,N2M1J3,80 Patricia Ave
2853,Joseph Brant,Toronto,3.2,M1E3V4,270 Manse Rd
2854,Notre-Dame-de-la-Huronie,Collingwood,3.2,0G6,"55, promenade Findlay"
2855,Oliver Stephens,Woodstock,3.2,N4S3S6,164 Fyfe Ave
2856,Our Lady Immaculate,Strathroy,3.2,N7G2J6,75 Head St N
2857,Peninsula Shores,Wiarton,3.2,N0H2T0,115 George St
2858,Prince Charles,Verona,3.2,K0H2W0,6875 Highway 38 100
2859,Prince of Peace,Ottawa,3.2,K1V9P5,1620 Heatherington Rd
2860,Ridgewood,Coboconk,3.2,K0M1K0,6763 35 Hwy Box 89
2861,Saint-Joseph,Blind River,3.2,P0R1B0,44 rue Lawton CP 610
2862,Saints-Anges,North Bay,3.2,P1B6G8,681-B rue Chippewa Ouest
2863,Valley Way,Niagara Falls,3.2,L2E1X5,5315 Valley Way
2864,West Hill,Toronto,3.2,M1E3G1,299 Morningside Ave
2865,Ben R McMullin,Sault Ste. Marie,3.1,P6B5K2,24 Paradise Ave
2866,Blind River,Blind River,3.1,P0R1B0,19 Hanes Ave Box 850
2867,Dr. J. Edgar Davey,Hamilton,3.1,L8R1L6,99 Ferguson Ave.
2868,Glen Orchard/Honey Harbour,Port Carling,3.1,P0B1J0,3954 Muskoka Road 169 Rd
2869,Our Lady of Lourdes,Elliot Lake,3.1,P5A1E3,139 Mississauga Ave
2870,Pavillon-de-l'Avenir,Chelmsford,3.1,P0M1L0,370 ave Côté
2871,Sacré-Coeur,Chapleau,3.1,P0M1K0,14 rue Strathcona CP 970
2872,St Michael,London,3.1,N5Y2X1,926 Maitland St
2873,Stewart Avenue,Cambridge,3.1,N1R2V5,145 Stewart Ave
2874,Forest Park,St Thomas,3,N5R2K5,295 Forest Ave
2875,Holy Family,Toronto,3,M6K2V6,141 Close Ave
2876,Iroquois Falls,Iroquois Falls,3,P0K1G0,900 Centennial St 998
2877,King Edward,Kitchener,3,N2G1E3,709 King St W
2878,Markstay/Warren,Markstay,3,P0M2G0,7 Pioneer St E Box 80
2879,North Star,Atikokan,3,P0T1C0,209 Hawthorne Avenue
2880,Our Lady of Fatima,Elliot Lake,3,P5A1X7,140 Hillside Dr N
2881,R M Moore,Sault Ste. Marie,3,P6A6K4,1272 Base Line
2882,Southside,Woodstock,3,N4S2L4,360 Albert St
2883,St Thomas More,London,3,N6G1R5,18 Wychwood Pk
2884,St-Joseph,Sudbury,3,P3C2V1,100 rue Bruyère
2885,Alexandra,Owen Sound,2.9,N4K3B6,1556 8th Ave E
2886,Algonquin Avenue,Thunder Bay,2.9,P7B4T1,160 South Algonquin Ave
2887,Bayview Heights,Pickering,2.9,L1W1J6,1400 Garvolin Ave
2888,Charles H. Hulse,Ottawa,2.9,K1V7T3,2605 Alta Vista Dr
2889,Colborne,Colborne,2.9,K0K1S0,8 Alfred St Box 70
2890,des Navigateurs,Haileybury,2.9,P0J1P0,39 ave Hessle
2891,Jeunesse-Active,Sturgeon Falls,2.9,P2B3H4,130 rue Lisgar CP 330
2892,John P Robarts,London,2.9,N5V1B1,84 Bow St
2893,Northern Heights,Sault Ste. Marie,2.9,P6B4S8,210 Grand Blvd
2894,Our Lady of Mount Carmel,Ottawa,2.9,K1K1C9,675 Gardenvale Rd
2895,Paul VI,Hawkesbury,2.9,K6A1A9,500 rue Principale Est
2896,Port Burwell,Port Burwell,2.9,N0J1T0,30 Strachan St Box 209
2897,Queen Elizabeth,Picton,2.9,K0K2T0,35 Barker St
2898,Selby,Selby,2.9,K0K2Z0,1623 County Rd 41
2899,V K Greer Memorial,Utterson,2.9,P0B1M0,130 Muskoka Rd. 10 Rd.
2900,W H Ballard,Hamilton,2.9,L8H1H9,801 Dunsmure Road
2901,Wellington,Prescott,2.9,K0E1T0,920 Boundary Street Box 1329
2902,Whitefish Valley,Kakabeka Falls,2.9,P0T1W0,RR 1
2903,Assomption,Kirkland Lake,2.8,P2N1T8,31 promenade Churchill
2904,Bishop Macdonell,Cornwall,2.8,K6H3S6,300 Adolphus St
2905,Blossom Park,Gloucester,2.8,K1T1K6,3810 Sixth St
2906,Parkdale,Toronto,2.8,M6K3L2,78 Seaforth Ave
2907,St Charles Garnier,Toronto,2.8,M3N2X9,20 Stong Crt
2908,St James,Thunder Bay,2.8,P7A3P1,243 St James St
